image,gender,occasion,full_body,lower_body,upper_body,outerwear,colour_bottom,colour_top,neckline,upper_body_length,lower_body_length,closure_type,sleeve_length,full_body_bbox,upper_body_bbox,lower_body_bbox
Travel1,male,Travel,nan,pants/trousers,t_shirt,nan,brown,white,v_neck,hip_length,full_length,pullover,short,nan,"[157.82143, 123.210495, 373.6763, 356.21515]","[146.21533, 344.8366, 357.7637, 647.2349]"
Travel2,female,Travel,nan,shorts,shirt_blouse,nan,white,red,v_neck,hip_length,extra_short,pullover,long,nan,"[128.7959, 177.39731, 387.02472, 569.76843]","[164.8102, 445.65726, 361.46786, 609.9989]"
Travel3,male,Travel,nan,jeans,t_shirt,jacket,navy,grey,round_neck,hip_length,full_length,pullover,long,nan,"[95.6222, 170.43304, 297.18356, 450.22485]","[128.51549, 418.9637, 286.28247, 754.00244]"
Travel4,male,Travel,nan,pants/trousers,t_shirt,nan,white,black,v_neck,hip_length,full_length,pullover,short,nan,"[118.22853, 99.94582, 286.61237, 306.62558]","[133.25406, 283.77463, 252.39075, 541.0237]"
Travel5,male,Travel,nan,shorts,t_shirt,nan,black,white,v_neck,hip_length,knee_length,pullover,short,nan,"[166.01602, 238.16754, 262.76846, 372.92972]","[178.89622, 354.87418, 260.5745, 436.2963]"
Travel6,male,Travel,nan,jeans,t_shirt,blazer,navy,black,round_neck,hip_length,full_length,pullover,long,nan,"[83.12929, 128.6573, 308.07626, 386.33032]","[141.6609, 337.7423, 273.3081, 575.7499]"
Travel7,female,Travel,nan,jeans,sweatshirt_hoodies,blazer,blue,grey,hooded,hip_length,full_length,pullover,long,nan,"[107.88631, 126.92309, 350.04453, 455.1558]","[145.32503, 359.99353, 316.3464, 712.9561]"
Travel8,female,Travel,play_suit,nan,nan,nan,nan,pink,round_neck,thigh_length,nan,button,sleeveless,"[145.34952, 337.78705, 318.0498, 605.4044]",nan,nan
Travel9,female,Travel,nan,shorts,top_others,nan,white,white,round_neck,crop,extra_short,pullover,sleeveless,nan,"[155.69809, 226.85507, 305.1881, 391.2931]","[134.14523, 338.21896, 301.96527, 555.853]"
Travel10,female,Travel,nan,shorts,tank_top,cardigan,blue,navy,round_neck,hip_length,thigh_length,pullover,sleeveless,nan,"[154.88545, 11.703408, 350.6802, 168.70752]","[84.35865, 218.97705, 360.47577, 638.49725]"
Travel11,male,Travel,nan,pants/trousers,shirt_blouse,nan,green,blue,collar,hip_length,full_length,button,three_quarter,nan,"[104.351295, 194.67513, 434.20993, 497.56552]","[159.44957, 494.4415, 360.45172, 857.53436]"
Travel12,male,Travel,nan,pants/trousers,t_shirt,nan,navy,white,v_neck,hip_length,full_length,pullover,short,nan,"[117.865005, 316.5742, 372.10327, 568.10754]","[153.05792, 545.9839, 347.6287, 971.51874]"
Travel13,male,Travel,nan,pants/trousers,sweater,nan,silver,white,round_neck,hip_length,full_length,pullover,long,nan,"[179.35434, 156.93787, 311.67545, 315.87854]","[206.8146, 296.1294, 352.67102, 506.32428]"
