image,gender,occasion,full_body,lower_body,upper_body,outerwear,colour_bottom,colour_top,neckline,upper_body_length,lower_body_length,closure_type,sleeve_length,full_body_bbox,upper_body_bbox,lower_body_bbox,age_group,age,cluster,validation_type
Travel265,female,Travel,,shorts,top_others,,grey,black,round_neck,hip_length,thigh_length,pullover,three_quarter,,"[290.60645, 205.20099, 626.8485, 694.11835]","[289.28427, 615.99445, 576.1312, 838.2809]",26-30,28,2,rule_based
wedding (221),female,Wedding,,skirt,shirt_blouse,,yellow,yellow,round_neck,crop,full_length,pullover,sleeveless,,"[153.08946, 155.00603, 338.2689, 521.23553]","[206.28075, 187.86275, 269.2307, 205.22055]",31-40,32,3,rule_based
party (269),female,Party,jump_suit,,,,,navy,halter_neck,below_knee,,zip,long,"[156.3463, 104.77142, 379.49786, 658.762]",,,16-20,18,1,random_check
office164,male,Office,,pants/trousers,shirt_blouse,,black,purple,collar,hip_length,full_length,button,long,,"[161.79102, 127.246864, 364.1105, 352.37073]","[196.23082, 322.1898, 334.20523, 623.0881]",31-40,39,0,rule_based
Sports204,female,Sports,,skirt,tank_top,,multi,pink,round_neck,crop,extra_short,pullover,sleeveless,,"[470.8697, 321.93478, 759.4529, 660.3495]","[427.2239, 802.6536, 831.77826, 1037.0642]",16-20,17,3,random_check
dating (14),female,Dating,dress,,,,,pink,v_neck,thigh_length,,pullover,short,"[330.97913, 233.0655, 729.70483, 816.15265]",,,31-40,31,1,rule_based
dating (439),male,Dating,,jeans,t_shirt,,black,white,round_neck,hip_length,full_length,pullover,short,,"[140.13174, 104.79222, 318.24194, 314.4492]","[128.59741, 291.53308, 273.35446, 554.7997]",21-25,24,0,random_check
wedding (240),female,Wedding,,skirt,top_others,,yellow,gold,off_shoulder,thigh_length,full_length,pullover,long,,"[127.545334, 171.35355, 398.9652, 558.37756]","[20.378729, 445.3814, 353.1941, 811.5614]",31-40,39,2,rule_based
wedding (50),male,Wedding,,pants/trousers,top_others,,white,multi,collar,thigh_length,full_length,button,long,,"[189.0012, 106.622635, 395.20212, 467.36133]","[207.57367, 357.98044, 353.19965, 507.70615]",16-20,16,0,rule_based
wedding (90),male,Wedding,,pants/trousers,shirt_blouse,coat,black,black,collar,hip_length,full_length,button,long,,"[139.17601, 117.25468, 351.49185, 407.9729]","[187.43651, 297.93124, 347.16, 665.1546]",26-30,30,0,rule_based
