epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17034.2,0.818,1.28881,1.05374,0.66897,0.50413,0.54699,0.42894,0.61718,0.74345,0.92833,0.000138945,0.000138945,0.000138945
2,33822.3,0.75702,0.86308,0.99943,0.75564,0.53111,0.57321,0.44758,0.61629,0.64613,0.93049,0.000250429,0.000250429,0.000250429
3,52646.2,0.73603,0.78713,0.98766,0.74621,0.57012,0.60206,0.47555,0.59237,0.6154,0.90852,0.00033439,0.00033439,0.00033439
4,71167.3,0.70297,0.7214,0.96807,0.79101,0.58601,0.62298,0.50144,0.55448,0.55,0.89819,0.000293151,0.000293151,0.000293151
5,91727.3,0.66344,0.64991,0.94852,0.80668,0.61084,0.65222,0.52886,0.53753,0.513,0.88765,0.000251868,0.000251868,0.000251868
6,110158,0.63179,0.59766,0.9336,0.80641,0.63374,0.65759,0.53325,0.5257,0.48803,0.88144,0.000210585,0.000210585,0.000210585
7,128406,0.60205,0.54844,0.91682,0.80556,0.63736,0.67303,0.55117,0.50221,0.46304,0.86899,0.000169302,0.000169302,0.000169302
8,146314,0.57653,0.50581,0.90459,0.83918,0.64441,0.6879,0.56716,0.48442,0.43685,0.86481,0.000128019,0.000128019,0.000128019
9,164113,0.55203,0.46709,0.89282,0.85431,0.66084,0.7056,0.58605,0.4717,0.40889,0.85736,8.6736e-05,8.6736e-05,8.6736e-05
10,207368,0.52937,0.42653,0.88577,0.84358,0.67244,0.70731,0.59185,0.45678,0.39559,0.85219,4.5453e-05,4.5453e-05,4.5453e-05
